person_1,person_2,contact_type,contact_hours
P01,P02,shared classroom,1.8
P01,P03,shared classroom,1.5
P01,P04,shared classroom,1.8
P01,P05,shared classroom,2.0
P01,P06,shared classroom,2.6
P01,P07,shared classroom,1.7
P01,P08,shared classroom,1.2
P01,P09,shared classroom,1.1
P01,P10,shared classroom,2.3
P01,P11,shared classroom,2.2
P02,P03,shared classroom,1.4
P03,P04,group activity,1.1
P04,P05,shared classroom,2.3
P05,P06,group activity,0.8
P06,P07,shared classroom,2.1
P07,P08,shared classroom,0.6
P08,P09,group activity,1.2
P09,P10,sat together,1.2
P10,P11,sat together,1.0
P11,P12,group activity,2.1
P12,P13,group activity,1.7
P13,P14,sat together,1.8
P14,P15,shared classroom,1.3
P15,P16,sat together,2.3
P16,P17,shared classroom,0.6
P17,P18,sat together,1.6
P18,P19,group activity,1.5
P19,P20,group activity,1.6
P20,P21,shared classroom,1.9
P21,P22,group activity,2.4
P22,P23,sat together,1.9
P23,P24,group activity,1.2
P24,P25,sat together,0.5
P25,P26,sat together,2.4
P26,P27,sat together,1.2
P27,P28,shared classroom,1.7
P03,P14,school activity,0.7
P05,P18,school activity,1.7
P07,P20,school activity,1.8
P09,P23,school activity,1.6
P11,P25,school activity,1.4
P13,P27,school activity,1.8
P04,P16,school activity,1.4
P08,P21,school activity,0.8
P12,P24,school activity,1.4
P29,P30,ate chicken wraps together,1.0
P31,P06,shared classroom,0.6
P32,P15,shared classroom,0.4
P33,P22,brief contact,0.2
P34,P10,shared bus,0.5
P35,P01,shared classroom,0.3
